class,spectrogram_path
ambulance,./sireNNet/espectrogramas_sirennet\ambulance\sound_1.png
ambulance,./sireNNet/espectrogramas_sirennet\ambulance\sound_10.png
ambulance,./sireNNet/espectrogramas_sirennet\ambulance\sound_100.png
ambulance,./sireNNet/espectrogramas_sirennet\ambulance\sound_100_1.png
ambulance,./sireNNet/espectrogramas_sirennet\ambulance\sound_101.png
ambulance,./sireNNet/espectrogramas_sirennet\ambulance\sound_101_1.png
ambulance,./sireNNet/espectrogramas_sirennet\ambulance\sound_102.png
ambulance,./sireNNet/espectrogramas_sirennet\ambulance\sound_102_1.png
ambulance,./sireNNet/espectrogramas_sirennet\ambulance\sound_103.png
ambulance,./sireNNet/espectrogramas_sirennet\ambulance\sound_103_1.png
ambulance,./sireNNet/espectrogramas_sirennet\ambulance\sound_104.png
ambulance,./sireNNet/espectrogramas_sirennet\ambulance\sound_104_1.png
ambulance,./sireNNet/espectrogramas_sirennet\ambulance\sound_105.png
ambulance,./sireNNet/espectrogramas_sirennet\ambulance\sound_105_1.png
ambulance,./sireNNet/espectrogramas_sirennet\ambulance\sound_106.png
ambulance,./sireNNet/espectrogramas_sirennet\ambulance\sound_106_1.png
ambulance,./sireNNet/espectrogramas_sirennet\ambulance\sound_107.png
ambulance,./sireNNet/espectrogramas_sirennet\ambulance\sound_107_1.png
ambulance,./sireNNet/espectrogramas_sirennet\ambulance\sound_108.png
ambulance,./sireNNet/espectrogramas_sirennet\ambulance\sound_108_1.png
ambulance,./sireNNet/espectrogramas_sirennet\ambulance\sound_109.png
ambulance,./sireNNet/espectrogramas_sirennet\ambulance\sound_109_1.png
ambulance,./sireNNet/espectrogramas_sirennet\ambulance\sound_10_1.png
ambulance,./sireNNet/espectrogramas_sirennet\ambulance\sound_11.png
ambulance,./sireNNet/espectrogramas_sirennet\ambulance\sound_110.png
ambulance,./sireNNet/espectrogramas_sirennet\ambulance\sound_110_1.png
ambulance,./sireNNet/espectrogramas_sirennet\ambulance\sound_111.png
ambulance,./sireNNet/espectrogramas_sirennet\ambulance\sound_111_1.png
ambulance,./sireNNet/espectrogramas_sirennet\ambulance\sound_112.png
ambulance,./sireNNet/espectrogramas_sirennet\ambulance\sound_112_1.png
ambulance,./sireNNet/espectrogramas_sirennet\ambulance\sound_113.png
ambulance,./sireNNet/espectrogramas_sirennet\ambulance\sound_113_1.png
ambulance,./sireNNet/espectrogramas_sirennet\ambulance\sound_114.png
ambulance,./sireNNet/espectrogramas_sirennet\ambulance\sound_114_1.png
ambulance,./sireNNet/espectrogramas_sirennet\ambulance\sound_115.png
ambulance,./sireNNet/espectrogramas_sirennet\ambulance\sound_115_1.png
ambulance,./sireNNet/espectrogramas_sirennet\ambulance\sound_116.png
ambulance,./sireNNet/espectrogramas_sirennet\ambulance\sound_116_1.png
ambulance,./sireNNet/espectrogramas_sirennet\ambulance\sound_117.png
ambulance,./sireNNet/espectrogramas_sirennet\ambulance\sound_117_1.png
ambulance,./sireNNet/espectrogramas_sirennet\ambulance\sound_118.png
ambulance,./sireNNet/espectrogramas_sirennet\ambulance\sound_118_1.png
